City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,norton shores,43.1689,-86.2639,64.42,60,0,21.0,US,1667554150
119,kailua,21.4022,-157.7394,79.48,82,100,5.01,US,1667554151
120,verkhniye achaluki,43.3469,44.6975,48.65,93,75,8.95,RU,1667554152
121,valparai,10.3667,76.9667,77.67,84,87,2.55,IN,1667554153
122,ilulissat,69.2167,-51.1,28.42,80,75,6.91,GL,1667554154
123,pinotepa nacional,16.3167,-98.0167,75.88,87,93,1.97,MX,1667554155
124,abu samrah,35.3029,37.1841,70.05,36,0,4.92,SY,1667554156
125,valparaiso,-33.0393,-71.6273,55.04,82,75,3.44,CL,1667554157
126,chokurdakh,70.6333,147.9167,-18.51,93,39,3.24,RU,1667554159
127,pisco,-13.7,-76.2167,61.02,88,100,2.3,PE,1667554159
128,saraland,30.8207,-88.0706,72.32,90,2,4.25,US,1667554161
129,pangody,65.85,74.4859,14.02,98,71,3.71,RU,1667554161
130,kapaa,22.0752,-159.319,79.12,82,0,12.66,US,1667554162
131,lompoc,34.6391,-120.4579,49.01,68,0,8.05,US,1667554163
132,vydrino,51.485,104.8461,36.5,68,61,1.39,RU,1667554164
133,sur,22.5667,59.5289,90.16,28,5,2.51,OM,1667554165
134,pittsfield,42.4501,-73.2454,50.2,93,0,0.0,US,1667554166
135,lorengau,-2.0226,147.2712,82.62,76,86,2.26,PG,1667554167
136,kruisfontein,-34.0033,24.7314,79.88,45,97,14.76,ZA,1667554168
137,caravelas,-17.7125,-39.2481,70.72,75,100,16.69,BR,1667554169
138,cape town,-33.9258,18.4232,75.61,64,0,12.66,ZA,1667554170
139,george,-33.963,22.4617,69.35,78,75,6.91,ZA,1667554171
140,georgetown,5.4112,100.3354,84.88,80,20,4.61,MY,1667553920
141,geraldton,-28.7667,114.6,66.67,66,0,20.09,AU,1667554172
142,broome,42.2506,-75.833,50.59,70,0,4.61,US,1667554173
143,bandarbeyla,9.4942,50.8122,82.45,66,42,9.48,SO,1667554175
144,xichang,27.8964,102.2634,63.79,72,100,4.0,CN,1667554176
145,barrow,71.2906,-156.7887,17.62,79,100,8.05,US,1667554177
146,bredasdorp,-34.5322,20.0403,68.29,78,100,14.2,ZA,1667554178
147,killybegs,54.6333,-8.45,49.71,80,100,14.25,IE,1667554179
148,saint george,37.1041,-113.5841,38.95,63,0,8.05,US,1667554180
149,nanortalik,60.1432,-45.2371,35.78,73,100,10.45,GL,1667554181
150,richards bay,-28.783,32.0377,81.46,64,100,10.83,ZA,1667554182
151,alta floresta,-9.8756,-56.0861,71.01,69,100,3.33,BR,1667554183
152,xocali,39.913,46.7903,60.21,38,56,6.85,AZ,1667554184
153,kazanskoye,55.6448,69.235,37.06,96,100,12.66,RU,1667554185
154,talara,-4.5772,-81.2719,63.27,84,97,12.03,PE,1667554186
155,guerrero negro,27.9769,-114.0611,60.67,56,0,16.2,MX,1667554187
156,saint-philippe,-21.3585,55.7679,80.19,78,100,5.35,RE,1667554188
157,kalga,50.9251,118.898,14.58,89,63,2.86,RU,1667554188
158,trelew,-43.249,-65.3051,66.79,26,1,19.37,AR,1667554190
159,jinchang,38.4953,102.1739,45.54,32,0,9.31,CN,1667554191
160,narsaq,60.9167,-46.05,43.02,57,100,19.55,GL,1667554192
161,faanui,-16.4833,-151.75,77.41,81,100,23.29,PF,1667554193
162,bhikhi,30.0667,75.5333,91.36,22,9,2.44,IN,1667554194
163,ca mau,9.1769,105.15,78.39,89,100,7.31,VN,1667554196
164,havre-saint-pierre,50.2334,-63.5986,35.96,80,100,4.61,CA,1667554198
165,beringovskiy,63.05,179.3167,4.95,93,41,10.71,RU,1667554199
166,aykhal,66.0,111.5,13.5,92,96,15.37,RU,1667554200
167,moengo,5.6167,-54.4,71.33,99,99,2.53,SR,1667553924
168,port keats,-14.25,129.55,85.23,62,4,7.31,AU,1667554202
169,kushalgarh,23.199,74.4507,92.57,20,0,4.59,IN,1667554203
170,imphal,24.8167,93.95,82.31,57,40,5.75,IN,1667554204
171,berlevag,70.8578,29.0864,41.0,87,75,18.41,NO,1667554205
172,taoudenni,22.6783,-3.9836,83.1,11,1,9.26,ML,1667554207
173,longyearbyen,78.2186,15.6401,26.44,93,40,8.05,SJ,1667554208
174,impfondo,1.6381,18.0667,81.27,68,98,1.61,CG,1667554209
175,kutum,14.2,24.6667,76.78,15,42,9.24,SD,1667553914
176,litovko,49.2361,135.1742,28.56,52,0,15.84,RU,1667554212
177,coihaique,-45.5752,-72.0662,44.55,87,5,3.44,CL,1667554213
178,nantucket,41.2835,-70.0995,57.0,93,0,4.61,US,1667554213
179,inhambane,-23.865,35.3833,84.18,61,40,11.5,MZ,1667554214
180,mahebourg,-20.4081,57.7,82.69,57,40,16.11,MU,1667553973
181,puerto escondido,15.85,-97.0667,77.56,86,61,4.29,MX,1667554216
182,upernavik,72.7868,-56.1549,25.38,64,100,4.5,GL,1667554217
183,saint anthony,45.0205,-93.218,42.58,91,100,16.11,US,1667554218
184,saint-pierre,-21.3393,55.4781,80.28,57,75,8.05,RE,1667554219
185,solms,50.7667,9.6,52.68,91,100,6.82,DE,1667554220
186,port macquarie,-31.4333,152.9167,59.9,69,9,5.48,AU,1667554221
187,evensk,61.95,159.2333,19.44,79,82,25.08,RU,1667554222
188,the valley,18.217,-63.0578,81.1,72,100,13.76,AI,1667554223
189,lafayette,30.2335,-92.0668,71.55,97,100,3.44,US,1667554067
190,bandar-e lengeh,26.5579,54.8807,86.11,58,40,4.61,IR,1667554225
191,sitka,57.0531,-135.33,39.09,81,100,4.61,US,1667554226
192,atocha,-20.9333,-66.2333,36.61,32,0,2.98,BO,1667554227
193,wamba,8.9333,8.6,89.13,27,92,4.54,NG,1667554228
194,port blair,11.6667,92.75,84.24,65,40,5.75,IN,1667554228
195,cherskiy,68.75,161.3,-18.24,94,16,3.71,RU,1667554229
196,paamiut,61.994,-49.6678,33.93,96,100,7.7,GL,1667554230
197,berdigestyakh,62.0989,126.6992,-6.43,100,77,4.23,RU,1667554231
198,palauig,15.435,119.9045,81.72,83,27,6.69,PH,1667554232
199,davila,18.4726,120.5763,76.98,84,20,18.32,PH,1667554233
200,thompson,55.7435,-97.8558,12.36,85,75,8.05,CA,1667554234
201,praia da vitoria,38.7333,-27.0667,70.05,88,40,15.3,PT,1667554235
202,san luis,-33.295,-66.3356,62.74,23,99,13.49,AR,1667554236
203,dudinka,69.4058,86.1778,15.62,91,100,16.98,RU,1667554237
204,jizan,17.3333,42.6667,90.54,48,68,12.03,SA,1667554238
205,kelvington,52.1667,-103.5343,15.93,92,43,7.02,CA,1667554239
206,bambous virieux,-20.3428,57.7575,82.65,57,40,16.11,MU,1667554241
207,hamilton,39.1834,-84.5333,59.88,82,0,6.91,US,1667553985
208,enshi,30.3,109.4833,62.71,76,100,1.88,CN,1667554243
209,belaya gora,68.5333,146.4167,-17.86,99,31,0.76,RU,1667554245
210,maningrida,-12.0667,134.2667,85.66,61,100,11.21,AU,1667554246
211,calama,-22.4667,-68.9333,45.09,18,0,17.27,CL,1667554219
212,maniitsoq,65.4167,-52.9,30.04,95,100,7.85,GL,1667554247
213,sinnamary,5.3833,-52.95,74.46,94,99,6.8,GF,1667554248
214,arona,28.0996,-16.681,70.02,70,20,11.5,ES,1667554249
215,zhaotong,27.3167,103.7167,47.57,95,100,6.8,CN,1667554250
216,asau,46.4333,26.4,51.28,53,96,4.52,RO,1667554251
217,rocha,-34.4833,-54.3333,54.7,76,25,0.6,UY,1667554252
218,kimamba,-6.7833,37.1333,94.64,25,12,3.78,TZ,1667554253
219,san cristobal,7.7669,-72.225,62.94,96,100,2.71,VE,1667554254
220,deputatskiy,69.3,139.9,-12.41,92,98,1.95,RU,1667554255
221,goderich,43.7501,-81.7165,59.32,72,44,14.97,CA,1667554217
222,tiksi,71.6872,128.8694,-2.11,96,55,8.5,RU,1667554257
223,ust-nera,64.5667,143.2,-3.55,95,100,3.42,RU,1667554258
224,poya,-21.35,165.15,77.99,80,95,9.66,NC,1667554258
225,kodiak,57.79,-152.4072,26.11,46,0,29.93,US,1667554259
226,rantepao,-2.9701,119.8978,70.09,97,99,1.14,ID,1667554260
227,torbay,47.6666,-52.7314,43.57,76,75,16.11,CA,1667554261
228,katsuura,35.1333,140.3,63.14,74,65,18.45,JP,1667554262
229,rabak,13.1809,32.74,94.01,23,5,10.42,SD,1667554263
230,shuyskoye,59.3736,41.0305,34.65,84,90,4.61,RU,1667554264
231,martapura,-3.4167,114.85,77.2,94,100,2.51,ID,1667554264
232,el vigia,8.6219,-71.6506,74.16,82,100,3.11,VE,1667554265
233,baryshivka,50.361,31.3217,50.04,76,83,2.64,UA,1667554267
234,kiunga,-6.1219,141.2906,79.02,76,99,3.09,PG,1667554268
235,ahipara,-35.1667,173.1667,57.38,88,12,5.99,NZ,1667554269
236,manjacaze,-24.7117,33.8828,87.75,44,96,5.23,MZ,1667554270
237,vila franca do campo,37.7167,-25.4333,70.2,93,85,8.34,PT,1667554271
238,okhotsk,59.3833,143.3,28.22,65,100,9.8,RU,1667554271
239,sosnovka,56.255,51.2842,34.99,81,98,4.56,RU,1667554272
240,tynda,55.1667,124.7167,5.65,97,89,3.4,RU,1667554273
241,leshukonskoye,64.8989,45.7622,25.21,78,31,0.89,RU,1667554275
242,san patricio,28.017,-97.5169,80.46,92,39,17.11,US,1667554275
243,talnakh,69.4865,88.3972,15.21,96,100,8.95,RU,1667554276
244,namibe,-15.1961,12.1522,70.88,68,96,6.53,AO,1667554277
245,marzuq,14.4,46.4667,85.84,21,1,9.66,YE,1667554278
246,appingedam,53.3217,6.8583,51.98,90,12,5.99,NL,1667554280
247,sola,-13.8833,167.55,74.07,94,14,0.0,VU,1667554281
248,bud,39.447,-86.1758,57.16,88,11,9.1,US,1667554282
249,alyangula,-13.8483,136.4192,81.52,58,93,12.84,AU,1667554282
250,amos,48.5669,-78.1162,52.18,83,50,12.44,CA,1667554283
251,thiruvananthapuram,8.4833,76.9167,85.98,70,75,3.44,IN,1667554257
252,upata,8.0086,-62.3989,70.2,99,100,2.19,VE,1667554285
253,bayir,37.2687,28.2167,68.52,21,2,3.85,TR,1667554286
254,biak,-0.9131,122.8766,79.43,81,72,1.86,ID,1667554287
255,proletarsk,46.7031,41.7192,45.14,80,100,5.68,RU,1667554288
256,svirstroy,60.7999,33.7248,32.79,78,26,2.28,RU,1667554289
257,nueva imperial,-38.7333,-72.95,52.45,92,99,1.45,CL,1667554290
258,guarapari,-20.6667,-40.4975,64.89,76,94,14.2,BR,1667554292
259,bilibino,68.0546,166.4372,-17.88,98,6,5.79,RU,1667554293
260,marystown,47.1666,-55.1483,45.46,82,19,12.88,CA,1667554294
261,dhidhdhoo,6.8833,73.1,82.04,67,97,8.72,MV,1667554295
262,isangel,-19.55,169.2667,75.31,94,2,2.3,VU,1667554296
263,abu kamal,34.4506,40.9171,76.35,28,0,8.14,SY,1667554297
264,pingliang,35.5392,106.6861,52.52,49,81,4.52,CN,1667554297
265,pismo beach,35.1428,-120.6413,51.62,61,0,1.01,US,1667554299
266,lebu,-37.6167,-73.65,52.99,91,99,3.49,CL,1667554300
267,itaituba,-4.2761,-55.9836,76.19,80,100,1.9,BR,1667554301
268,sao filipe,14.8961,-24.4956,81.39,58,91,4.74,CV,1667554302
269,waitati,-45.75,170.5667,52.81,71,16,12.93,NZ,1667554303
270,morro bay,35.3658,-120.8499,51.57,54,53,1.01,US,1667554281
271,mala,-12.6581,-76.6308,61.68,84,52,3.83,PE,1667554304
272,kristiinankaupunki,62.2743,21.376,44.85,88,63,13.38,FI,1667554165
273,abu dhabi,24.4667,54.3667,93.31,21,0,6.91,AE,1667554306
274,harper,4.375,-7.7169,81.54,77,98,7.2,LR,1667554306
275,brainerd,46.358,-94.2008,35.85,80,100,12.66,US,1667554140
276,batagay,67.6333,134.6333,-2.63,99,96,4.61,RU,1667554308
277,san quintin,30.4833,-115.95,56.01,57,35,5.12,MX,1667554309
278,cabo san lucas,22.8909,-109.9124,72.52,78,23,1.01,MX,1667554206
279,eyl,7.9803,49.8164,83.3,64,57,10.16,SO,1667554310
280,kurilsk,45.2333,147.8833,40.42,73,82,16.2,RU,1667554311
281,campiglia marittima,43.0602,10.6152,68.83,66,27,20.96,IT,1667554312
282,pavino,59.1139,46.1414,33.98,88,98,5.75,RU,1667554313
283,arraial do cabo,-22.9661,-42.0278,68.31,57,24,9.33,BR,1667554314
284,emerald,-23.5333,148.1667,72.84,28,4,9.42,AU,1667554314
285,ancud,-41.8697,-73.8203,49.37,95,21,3.62,CL,1667554316
286,kizhinga,51.8462,109.9097,28.49,66,99,7.09,RU,1667554317
287,tochigi,36.3833,139.7333,54.1,71,100,6.26,JP,1667554318
288,saskylakh,71.9167,114.0833,-0.04,95,100,13.85,RU,1667554319
289,sheopur,25.6667,76.7,91.36,25,0,5.61,IN,1667554321
290,inirida,3.8653,-67.9239,66.99,98,64,2.08,CO,1667554322
291,najran,17.4924,44.1277,86.65,16,1,12.06,SA,1667554323
292,alice springs,-23.7,133.8833,80.15,12,0,10.36,AU,1667554212
293,lakota,5.8528,-5.6883,83.34,67,89,2.89,CI,1667554324
294,anshun,26.25,105.9333,57.49,65,29,6.22,CN,1667554282
295,camacha,33.0833,-16.3333,69.22,83,40,9.22,PT,1667554326
296,buala,-8.145,159.5921,80.38,81,99,2.53,SB,1667554327
297,kieta,-6.2167,155.6333,80.24,83,97,2.77,PG,1667554328
298,cidreira,-30.1811,-50.2056,62.76,60,77,8.95,BR,1667554328
299,kavieng,-2.5744,150.7967,83.12,73,96,3.44,PG,1667554329
300,bireun,5.203,96.7009,79.32,84,83,7.83,ID,1667554330
301,sioux lookout,50.1001,-91.917,32.07,86,100,12.66,CA,1667554219
302,namatanai,-3.6667,152.4333,81.3,78,98,2.73,PG,1667554331
303,ilinskiy,55.619,38.1182,32.38,86,100,7.0,RU,1667554332
304,kinsale,51.7075,-8.5306,47.57,76,75,4.61,IE,1667554333
305,pierre,44.3683,-100.351,34.72,60,100,5.75,US,1667554334
306,sorland,67.667,12.6934,48.06,83,100,14.27,NO,1667554335
307,chancay,-11.5714,-77.2672,60.48,90,66,5.08,PE,1667554336
308,bilma,18.6853,12.9164,77.52,18,49,5.68,NE,1667554336
309,maua,-23.6678,-46.4614,54.36,84,2,3.13,BR,1667554163
310,tonantins,-2.8731,-67.8022,69.42,85,97,2.37,BR,1667554338
311,gorontalo,0.5412,123.0595,79.16,88,93,2.04,ID,1667554339
312,tevriz,57.509,72.4042,35.91,95,100,8.97,RU,1667554339
